algorithm,metric,x_percent,mean,std,min,max,q1,q3
lhn,true_positives,10,1095.8,9.558242516278815,1074.0,1110.0,1092.5,1103.5
lhn,false_positives,10,404.2,9.558242516278817,390.0,426.0,396.5,407.5
lhn,false_negatives,10,404.2,9.558242516278817,390.0,426.0,396.5,407.5
lhn,true_negatives,10,1095.8,9.558242516278815,1074.0,1110.0,1092.5,1103.5
lhn,true_positive_rate,10,0.7305333333333334,0.006372161677519199,0.716,0.74,0.7283333333333334,0.7356666666666667
ra,true_positives,10,1095.8,9.558242516278815,1074.0,1110.0,1092.5,1103.5
ra,false_positives,10,404.2,9.558242516278817,390.0,426.0,396.5,407.5
ra,false_negatives,10,404.2,9.558242516278817,390.0,426.0,396.5,407.5
ra,true_negatives,10,1095.8,9.558242516278815,1074.0,1110.0,1092.5,1103.5
ra,true_positive_rate,10,0.7305333333333334,0.006372161677519199,0.716,0.74,0.7283333333333334,0.7356666666666667
hits,true_positives,10,1042.8,6.867313885355758,1030.0,1058.0,1038.0,1047.75
hits,false_positives,10,457.2,6.867313885355758,442.0,470.0,452.25,462.0
hits,false_negatives,10,457.2,6.867313885355758,442.0,470.0,452.25,462.0
hits,true_negatives,10,1042.8,6.867313885355758,1030.0,1058.0,1038.0,1047.75
hits,true_positive_rate,10,0.6951999999999999,0.004578209256903847,0.6866666666666666,0.7053333333333334,0.692,0.6984999999999999
katz,true_positives,10,1218.35,5.350467269313962,1211.0,1232.0,1215.0,1220.5
katz,false_positives,10,281.65,5.350467269313962,268.0,289.0,279.5,285.0
katz,false_negatives,10,281.65,5.350467269313962,268.0,289.0,279.5,285.0
katz,true_negatives,10,1218.35,5.350467269313962,1211.0,1232.0,1215.0,1220.5
katz,true_positive_rate,10,0.8122333333333334,0.0035669781795426353,0.8073333333333333,0.8213333333333334,0.81,0.8136666666666666
act,true_positives,10,1119.6,10.43264108459598,1100.0,1141.0,1111.0,1125.5
act,false_positives,10,380.4,10.43264108459598,359.0,400.0,374.5,389.0
act,false_negatives,10,380.4,10.43264108459598,359.0,400.0,374.5,389.0
act,true_negatives,10,1119.6,10.43264108459598,1100.0,1141.0,1111.0,1125.5
act,true_positive_rate,10,0.7464000000000001,0.006955094056397329,0.7333333333333333,0.7606666666666667,0.7406666666666667,0.7503333333333333
lhn,true_positives,25,2596.25,13.677993273868795,2575.0,2614.0,2581.5,2608.25
lhn,false_positives,25,1153.75,13.677993273868795,1136.0,1175.0,1141.75,1168.5
lhn,false_negatives,25,1153.75,13.677993273868795,1136.0,1175.0,1141.75,1168.5
lhn,true_negatives,25,2596.25,13.677993273868795,2575.0,2614.0,2581.5,2608.25
lhn,true_positive_rate,25,0.6923333333333334,0.003647464873031684,0.6866666666666666,0.6970666666666666,0.6884,0.6955333333333333
ra,true_positives,25,2596.25,13.677993273868795,2575.0,2614.0,2581.5,2608.25
ra,false_positives,25,1153.75,13.677993273868795,1136.0,1175.0,1141.75,1168.5
ra,false_negatives,25,1153.75,13.677993273868795,1136.0,1175.0,1141.75,1168.5
ra,true_negatives,25,2596.25,13.677993273868795,2575.0,2614.0,2581.5,2608.25
ra,true_positive_rate,25,0.6923333333333334,0.003647464873031684,0.6866666666666666,0.6970666666666666,0.6884,0.6955333333333333
hits,true_positives,25,2596.05,10.409010519737215,2568.0,2622.0,2592.5,2599.75
hits,false_positives,25,1153.95,10.409010519737215,1128.0,1182.0,1150.25,1157.5
hits,false_negatives,25,1153.95,10.409010519737215,1128.0,1182.0,1150.25,1157.5
