algorithm,metric,x_percent,mean,std,min,max,q1,q3
lhn,true_positives,10,1029.85,8.211424967689835,1012.0,1042.0,1025.5,1037.25
lhn,false_positives,10,382.15,8.211424967689835,370.0,400.0,374.75,386.5
lhn,false_negatives,10,382.15,8.211424967689835,370.0,400.0,374.75,386.5
lhn,true_negatives,10,1029.85,8.211424967689835,1012.0,1042.0,1025.5,1037.25
lhn,true_positive_rate,10,0.7293555240793201,0.005815456775984303,0.71671388101983,0.7379603399433428,0.7262747875354107,0.7345963172804533
ra,true_positives,10,1029.85,8.211424967689835,1012.0,1042.0,1025.5,1037.25
ra,false_positives,10,382.15,8.211424967689835,370.0,400.0,374.75,386.5
ra,false_negatives,10,382.15,8.211424967689835,370.0,400.0,374.75,386.5
ra,true_negatives,10,1029.85,8.211424967689835,1012.0,1042.0,1025.5,1037.25
ra,true_positive_rate,10,0.7293555240793201,0.005815456775984303,0.71671388101983,0.7379603399433428,0.7262747875354107,0.7345963172804533
hits,true_positives,10,929.5,1.4317821063276353,928.0,934.0,928.0,930.0
hits,false_positives,10,482.5,1.4317821063276353,478.0,484.0,482.0,484.0
hits,false_negatives,10,482.5,1.4317821063276353,478.0,484.0,482.0,484.0
hits,true_negatives,10,929.5,1.4317821063276353,928.0,934.0,928.0,930.0
hits,true_positive_rate,10,0.6582861189801701,0.0010140099903169983,0.6572237960339944,0.6614730878186968,0.6572237960339944,0.6586402266288952
katz,true_positives,10,999.4,2.353720459187964,995.0,1005.0,997.0,1000.0
katz,false_positives,10,412.6,2.353720459187964,407.0,417.0,412.0,415.0
katz,false_negatives,10,412.6,2.353720459187964,407.0,417.0,412.0,415.0
katz,true_negatives,10,999.4,2.353720459187964,995.0,1005.0,997.0,1000.0
katz,true_positive_rate,10,0.7077903682719546,0.0016669408351189735,0.7046742209631728,0.7117563739376771,0.7060906515580736,0.7082152974504249
act,true_positives,10,1052.3,3.769615364994153,1048.0,1058.0,1049.0,1055.5
act,false_positives,10,359.7,3.7696153649941526,354.0,364.0,356.5,363.0
act,false_negatives,10,359.7,3.7696153649941526,354.0,364.0,356.5,363.0
act,true_negatives,10,1052.3,3.769615364994153,1048.0,1058.0,1049.0,1055.5
act,true_positive_rate,10,0.745254957507082,0.0026696992669930117,0.7422096317280453,0.7492917847025495,0.7429178470254958,0.7475212464589235
lhn,true_positives,25,2481.05,15.945140325503568,2450.0,2510.0,2469.0,2490.25
lhn,false_positives,25,1049.95,15.945140325503568,1021.0,1081.0,1040.75,1062.0
lhn,false_negatives,25,1049.95,15.945140325503568,1021.0,1081.0,1040.75,1062.0
lhn,true_negatives,25,2481.05,15.945140325503568,2450.0,2510.0,2469.0,2490.25
lhn,true_positive_rate,25,0.7026479750778817,0.004515757667942091,0.6938544321721892,0.7108467856131407,0.6992353440951572,0.7052534692721608
ra,true_positives,25,2481.05,15.945140325503568,2450.0,2510.0,2469.0,2490.25
ra,false_positives,25,1049.95,15.945140325503568,1021.0,1081.0,1040.75,1062.0
ra,false_negatives,25,1049.95,15.945140325503568,1021.0,1081.0,1040.75,1062.0
ra,true_negatives,25,2481.05,15.945140325503568,2450.0,2510.0,2469.0,2490.25
ra,true_positive_rate,25,0.7026479750778817,0.004515757667942091,0.6938544321721892,0.7108467856131407,0.6992353440951572,0.7052534692721608
