algorithm,metric,x_percent,mean,std,min,max,q1,q3
lhn,true_positives,10,1173.45,8.19435781498465,1160.0,1193.0,1169.25,1177.0
lhn,false_positives,10,326.55,8.19435781498465,307.0,340.0,323.0,330.75
lhn,false_negatives,10,326.55,8.19435781498465,307.0,340.0,323.0,330.75
lhn,true_negatives,10,1173.45,8.19435781498465,1160.0,1193.0,1169.25,1177.0
lhn,true_positive_rate,10,0.7823,0.005462905209989769,0.7733333333333333,0.7953333333333333,0.7795000000000001,0.7846666666666666
ra,true_positives,10,1315.05,6.406832290609767,1300.0,1328.0,1309.75,1318.5
ra,false_positives,10,184.95,6.406832290609768,172.0,200.0,181.5,190.25
ra,false_negatives,10,184.95,6.406832290609768,172.0,200.0,181.5,190.25
ra,true_negatives,10,1315.05,6.406832290609767,1300.0,1328.0,1309.75,1318.5
ra,true_positive_rate,10,0.8766999999999999,0.004271221527073168,0.8666666666666667,0.8853333333333333,0.8731666666666666,0.879
hits,true_positives,10,1128.45,8.941336589123576,1115.0,1145.0,1120.5,1135.5
hits,false_positives,10,371.55,8.941336589123575,355.0,385.0,364.5,379.5
hits,false_negatives,10,371.55,8.941336589123575,355.0,385.0,364.5,379.5
hits,true_negatives,10,1128.45,8.941336589123576,1115.0,1145.0,1120.5,1135.5
hits,true_positive_rate,10,0.7523000000000001,0.005960891059415722,0.7433333333333333,0.7633333333333333,0.747,0.757
katz,true_positives,10,1241.25,10.449282272003183,1220.0,1260.0,1234.5,1248.5
katz,false_positives,10,258.75,10.449282272003183,240.0,280.0,251.5,265.5
katz,false_negatives,10,258.75,10.449282272003183,240.0,280.0,251.5,265.5
katz,true_negatives,10,1241.25,10.449282272003183,1220.0,1260.0,1234.5,1248.5
katz,true_positive_rate,10,0.8275,0.006966188181335458,0.8133333333333334,0.84,0.823,0.8323333333333334
act,true_positives,10,1137.15,10.189578008926572,1117.0,1158.0,1133.0,1141.25
act,false_positives,10,362.85,10.18957800892657,342.0,383.0,358.75,367.0
act,false_negatives,10,362.85,10.18957800892657,342.0,383.0,358.75,367.0
act,true_negatives,10,1137.15,10.189578008926572,1117.0,1158.0,1133.0,1141.25
act,true_positive_rate,10,0.7581,0.006793052005951037,0.7446666666666667,0.772,0.7553333333333333,0.7608333333333334
lhn,true_positives,25,2977.6,14.850589213899896,2949.0,3008.0,2968.25,2983.25
lhn,false_positives,25,772.4,14.850589213899896,742.0,801.0,766.75,781.75
lhn,false_negatives,25,772.4,14.850589213899896,742.0,801.0,766.75,781.75
lhn,true_negatives,25,2977.6,14.850589213899896,2949.0,3008.0,2968.25,2983.25
lhn,true_positive_rate,25,0.7940266666666667,0.003960157123706642,0.7864,0.8021333333333334,0.7915333333333333,0.7955333333333333
ra,true_positives,25,3274.35,7.50516488826195,3261.0,3288.0,3269.0,3278.75
ra,false_positives,25,475.65,7.505164888261948,462.0,489.0,471.25,481.0
ra,false_negatives,25,475.65,7.505164888261948,462.0,489.0,471.25,481.0
ra,true_negatives,25,3274.35,7.50516488826195,3261.0,3288.0,3269.0,3278.75
ra,true_positive_rate,25,0.87316,0.002001377303536518,0.8696,0.8768,0.8717333333333334,0.8743333333333333
hits,true_positives,25,2821.2,14.955266630856169,2791.0,2844.0,2812.25,2832.75
hits,false_positives,25,928.8,14.955266630856165,906.0,959.0,917.25,937.75
hits,false_negatives,25,928.8,14.955266630856165,906.0,959.0,917.25,937.75
hits,true_negatives,25,2821.2,14.955266630856169,2791.0,2844.0,2812.25,2832.75
hits,true_positive_rate,25,0.7523199999999999,0.003988071101561645,0.7442666666666666,0.7584,0.7499333333333333,0.7554
katz,true_positives,25,3114.95,12.823708511971098,3092.0,3135.0,3103.0,3124.0
katz,false_positives,25,635.05,12.823708511971098,615.0,658.0,626.0,647.0
katz,false_negatives,25,635.05,12.823708511971098,615.0,658.0,626.0,647.0
katz,true_negatives,25,3114.95,12.823708511971098,3092.0,3135.0,3103.0,3124.0
katz,true_positive_rate,25,0.8306533333333335,0.003419655603192294,0.8245333333333333,0.836,0.8274666666666667,0.8330666666666666
act,true_positives,25,2817.5,15.121177202850312,2785.0,2841.0,2807.0,2829.25
act,false_positives,25,932.5,15.121177202850312,909.0,965.0,920.75,943.0
act,false_negatives,25,932.5,15.121177202850312,909.0,965.0,920.75,943.0
act,true_negatives,25,2817.5,15.121177202850312,2785.0,2841.0,2807.0,2829.25
act,true_positive_rate,25,0.7513333333333333,0.004032313920760089,0.7426666666666667,0.7576,0.7485333333333334,0.7544666666666666
lhn,true_positives,50,6124.0,23.600847442411894,6080.0,6169.0,6108.5,6140.0
lhn,false_positives,50,1376.0,23.600847442411894,1331.0,1420.0,1360.0,1391.5
lhn,false_negatives,50,1376.0,23.600847442411894,1331.0,1420.0,1360.0,1391.5
lhn,true_negatives,50,6124.0,23.600847442411894,6080.0,6169.0,6108.5,6140.0
lhn,true_positive_rate,50,0.8165333333333333,0.0031467796589882547,0.8106666666666666,0.8225333333333333,0.8144666666666667,0.8186666666666667
ra,true_positives,50,6317.3,19.097382019533462,6282.0,6360.0,6304.75,6330.25
ra,false_positives,50,1182.7,19.097382019533462,1140.0,1218.0,1169.75,1195.25
ra,false_negatives,50,1182.7,19.097382019533462,1140.0,1218.0,1169.75,1195.25
ra,true_negatives,50,6317.3,19.097382019533462,6282.0,6360.0,6304.75,6330.25
ra,true_positive_rate,50,0.8423066666666665,0.0025463176026044574,0.8376,0.848,0.8406333333333333,0.8440333333333333
hits,true_positives,50,5596.95,19.91350044567755,5569.0,5640.0,5584.25,5612.0
hits,false_positives,50,1903.05,19.91350044567755,1860.0,1931.0,1888.0,1915.75
hits,false_negatives,50,1903.05,19.91350044567755,1860.0,1931.0,1888.0,1915.75
hits,true_negatives,50,5596.95,19.91350044567755,5569.0,5640.0,5584.25,5612.0
hits,true_positive_rate,50,0.7462600000000001,0.0026551333927569945,0.7425333333333334,0.752,0.7445666666666667,0.7482666666666666
katz,true_positives,50,6165.35,18.094957861238584,6130.0,6191.0,6149.5,6179.5
katz,false_positives,50,1334.65,18.094957861238584,1309.0,1370.0,1320.5,1350.5
katz,false_negatives,50,1334.65,18.094957861238584,1309.0,1370.0,1320.5,1350.5
katz,true_negatives,50,6165.35,18.094957861238584,6130.0,6191.0,6149.5,6179.5
katz,true_positive_rate,50,0.8220466666666667,0.002412661048165147,0.8173333333333334,0.8254666666666667,0.8199333333333333,0.8239333333333333
act,true_positives,50,5386.45,22.346084668236625,5334.0,5424.0,5373.5,5398.25
act,false_positives,50,2113.55,22.346084668236625,2076.0,2166.0,2101.75,2126.5
act,false_negatives,50,2113.55,22.346084668236625,2076.0,2166.0,2101.75,2126.5
act,true_negatives,50,5386.45,22.346084668236625,5334.0,5424.0,5373.5,5398.25
act,true_positive_rate,50,0.7181933333333334,0.0029794779557648795,0.7112,0.7232,0.7164666666666667,0.7197666666666667
lhn,true_positives,75,7574.35,27.805170382502602,7528.0,7622.0,7558.0,7594.75
lhn,false_positives,75,3675.65,27.805170382502602,3628.0,3722.0,3655.25,3692.0
lhn,false_negatives,75,3675.65,27.805170382502602,3628.0,3722.0,3655.25,3692.0
lhn,true_negatives,75,7574.35,27.805170382502602,7528.0,7622.0,7558.0,7594.75
lhn,true_positive_rate,75,0.6732755555555555,0.002471570700666898,0.6691555555555555,0.6775111111111111,0.6718222222222222,0.6750888888888888
ra,true_positives,75,7574.35,27.805170382502602,7528.0,7622.0,7558.0,7594.75
ra,false_positives,75,3675.65,27.805170382502602,3628.0,3722.0,3655.25,3692.0
ra,false_negatives,75,3675.65,27.805170382502602,3628.0,3722.0,3655.25,3692.0
ra,true_negatives,75,7574.35,27.805170382502602,7528.0,7622.0,7558.0,7594.75
ra,true_positive_rate,75,0.6732755555555555,0.002471570700666898,0.6691555555555555,0.6775111111111111,0.6718222222222222,0.6750888888888888
hits,true_positives,75,8349.2,16.014368548275637,8318.0,8372.0,8339.0,8364.5
hits,false_positives,75,2900.8,16.01436854827564,2878.0,2932.0,2885.5,2911.0
hits,false_negatives,75,2900.8,16.01436854827564,2878.0,2932.0,2885.5,2911.0
hits,true_negatives,75,8349.2,16.014368548275637,8318.0,8372.0,8339.0,8364.5
hits,true_positive_rate,75,0.742151111111111,0.001423499426513397,0.7393777777777778,0.7441777777777778,0.7412444444444445,0.7435111111111111
katz,true_positives,75,8978.4,17.06575518399347,8941.0,9011.0,8967.0,8991.0
katz,false_positives,75,2271.6,17.06575518399347,2239.0,2309.0,2259.0,2283.0
katz,false_negatives,75,2271.6,17.06575518399347,2239.0,2309.0,2259.0,2283.0
katz,true_negatives,75,8978.4,17.06575518399347,8941.0,9011.0,8967.0,8991.0
katz,true_positive_rate,75,0.79808,0.0015169560163549845,0.7947555555555555,0.8009777777777778,0.7970666666666666,0.7992
