algorithm,metric,x_percent,mean,std,min,max,q1,q3
lhn,true_positives,10,202.75,5.185315805233081,194.0,212.0,198.75,205.5
lhn,false_positives,10,97.25,5.185315805233081,88.0,106.0,94.5,101.25
lhn,false_negatives,10,97.25,5.185315805233081,88.0,106.0,94.5,101.25
lhn,true_negatives,10,202.75,5.185315805233081,194.0,212.0,198.75,205.5
lhn,true_positive_rate,10,0.6758333333333333,0.0172843860174436,0.6466666666666666,0.7066666666666667,0.6625,0.685
ra,true_positives,10,202.75,5.185315805233081,194.0,212.0,198.75,205.5
ra,false_positives,10,97.25,5.185315805233081,88.0,106.0,94.5,101.25
ra,false_negatives,10,97.25,5.185315805233081,88.0,106.0,94.5,101.25
ra,true_negatives,10,202.75,5.185315805233081,194.0,212.0,198.75,205.5
ra,true_positive_rate,10,0.6758333333333333,0.0172843860174436,0.6466666666666666,0.7066666666666667,0.6625,0.685
hits,true_positives,10,216.45,3.5843409436045564,209.0,224.0,214.75,218.5
hits,false_positives,10,83.55,3.5843409436045564,76.0,91.0,81.5,85.25
hits,false_negatives,10,83.55,3.5843409436045564,76.0,91.0,81.5,85.25
hits,true_negatives,10,216.45,3.5843409436045564,209.0,224.0,214.75,218.5
hits,true_positive_rate,10,0.7215,0.011947803145348523,0.6966666666666667,0.7466666666666667,0.7158333333333333,0.7283333333333333
katz,true_positives,10,218.85,3.48245602987317,212.0,224.0,216.75,222.0
katz,false_positives,10,81.15,3.48245602987317,76.0,88.0,78.0,83.25
katz,false_negatives,10,81.15,3.48245602987317,76.0,88.0,78.0,83.25
katz,true_negatives,10,218.85,3.48245602987317,212.0,224.0,216.75,222.0
katz,true_positive_rate,10,0.7295,0.011608186766243898,0.7066666666666667,0.7466666666666667,0.7225,0.74
act,true_positives,10,208.25,4.515251930955791,198.0,216.0,205.0,212.25
act,false_positives,10,91.75,4.515251930955791,84.0,102.0,87.75,95.0
act,false_negatives,10,91.75,4.515251930955791,84.0,102.0,87.75,95.0
act,true_negatives,10,208.25,4.515251930955791,198.0,216.0,205.0,212.25
act,true_positive_rate,10,0.6941666666666666,0.015050839769852619,0.66,0.72,0.6833333333333333,0.7075
lhn,true_positives,25,467.4,7.165193647069143,456.0,483.0,462.5,472.0
lhn,false_positives,25,282.6,7.165193647069143,267.0,294.0,278.0,287.5
lhn,false_negatives,25,282.6,7.165193647069143,267.0,294.0,278.0,287.5
lhn,true_negatives,25,467.4,7.165193647069143,456.0,483.0,462.5,472.0
lhn,true_positive_rate,25,0.6232,0.00955359152942553,0.608,0.644,0.6166666666666667,0.6293333333333333
ra,true_positives,25,467.4,7.165193647069143,456.0,483.0,462.5,472.0
ra,false_positives,25,282.6,7.165193647069143,267.0,294.0,278.0,287.5
ra,false_negatives,25,282.6,7.165193647069143,267.0,294.0,278.0,287.5
ra,true_negatives,25,467.4,7.165193647069143,456.0,483.0,462.5,472.0
ra,true_positive_rate,25,0.6232,0.00955359152942553,0.608,0.644,0.6166666666666667,0.6293333333333333
hits,true_positives,25,525.1,3.9102429592034302,517.0,532.0,524.75,527.0
hits,false_positives,25,224.9,3.9102429592034302,218.0,233.0,223.0,225.25
hits,false_negatives,25,224.9,3.9102429592034302,218.0,233.0,223.0,225.25
hits,true_negatives,25,525.1,3.9102429592034302,517.0,532.0,524.75,527.0
hits,true_positive_rate,25,0.7001333333333333,0.005213657278937911,0.6893333333333334,0.7093333333333334,0.6996666666666667,0.7026666666666667
katz,true_positives,25,516.35,5.935275899231645,504.0,529.0,512.75,519.25
katz,false_positives,25,233.65,5.935275899231644,221.0,246.0,230.75,237.25
katz,false_negatives,25,233.65,5.935275899231644,221.0,246.0,230.75,237.25
katz,true_negatives,25,516.35,5.935275899231645,504.0,529.0,512.75,519.25
katz,true_positive_rate,25,0.6884666666666667,0.007913701198975519,0.672,0.7053333333333334,0.6836666666666666,0.6923333333333332
act,true_positives,25,489.6,6.777905281132217,480.0,503.0,484.0,496.25
act,false_positives,25,260.4,6.777905281132217,247.0,270.0,253.75,266.0
act,false_negatives,25,260.4,6.777905281132217,247.0,270.0,253.75,266.0
act,true_negatives,25,489.6,6.777905281132217,480.0,503.0,484.0,496.25
act,true_positive_rate,25,0.6527999999999999,0.009037207041509628,0.64,0.6706666666666666,0.6453333333333333,0.6616666666666666
lhn,true_positives,50,850.2,13.49666625504239,824.0,874.0,840.75,861.0
lhn,false_positives,50,649.8,13.49666625504239,626.0,676.0,639.0,659.25
lhn,false_negatives,50,649.8,13.49666625504239,626.0,676.0,639.0,659.25
lhn,true_negatives,50,850.2,13.49666625504239,824.0,874.0,840.75,861.0
lhn,true_positive_rate,50,0.5668,0.008997777503361585,0.5493333333333333,0.5826666666666667,0.5605,0.574
ra,true_positives,50,850.2,13.49666625504239,824.0,874.0,840.75,861.0
ra,false_positives,50,649.8,13.49666625504239,626.0,676.0,639.0,659.25
ra,false_negatives,50,649.8,13.49666625504239,626.0,676.0,639.0,659.25
ra,true_negatives,50,850.2,13.49666625504239,824.0,874.0,840.75,861.0
ra,true_positive_rate,50,0.5668,0.008997777503361585,0.5493333333333333,0.5826666666666667,0.5605,0.574
hits,true_positives,50,1016.3,7.218725649309579,1000.0,1028.0,1010.0,1021.5
hits,false_positives,50,483.7,7.218725649309579,472.0,500.0,478.5,490.0
