algorithm,metric,x_percent,mean,std,min,max,q1,q3
lhn,true_positives,10,1328.9,2.7367864366808017,1324.0,1334.0,1327.0,1331.25
lhn,false_positives,10,171.1,2.7367864366808012,166.0,176.0,168.75,173.0
lhn,false_negatives,10,171.1,2.7367864366808012,166.0,176.0,168.75,173.0
lhn,true_negatives,10,1328.9,2.7367864366808017,1324.0,1334.0,1327.0,1331.25
lhn,true_positive_rate,10,0.8859333333333332,0.0018245242911205343,0.8826666666666667,0.8893333333333333,0.8846666666666667,0.8875
ra,true_positives,10,1328.9,2.7367864366808017,1324.0,1334.0,1327.0,1331.25
ra,false_positives,10,171.1,2.7367864366808012,166.0,176.0,168.75,173.0
ra,false_negatives,10,171.1,2.7367864366808012,166.0,176.0,168.75,173.0
ra,true_negatives,10,1328.9,2.7367864366808017,1324.0,1334.0,1327.0,1331.25
ra,true_positive_rate,10,0.8859333333333332,0.0018245242911205343,0.8826666666666667,0.8893333333333333,0.8846666666666667,0.8875
hits,true_positives,10,1196.2,4.044749683231338,1188.0,1205.0,1193.0,1199.25
hits,false_positives,10,303.8,4.044749683231337,295.0,312.0,300.75,307.0
hits,false_negatives,10,303.8,4.044749683231337,295.0,312.0,300.75,307.0
hits,true_negatives,10,1196.2,4.044749683231338,1188.0,1205.0,1193.0,1199.25
hits,true_positive_rate,10,0.7974666666666667,0.0026964997888208925,0.792,0.8033333333333333,0.7953333333333333,0.7995
katz,true_positives,10,1352.65,2.515452245621053,1351.0,1363.0,1351.75,1353.0
katz,false_positives,10,147.35,2.515452245621054,137.0,149.0,147.0,148.25
katz,false_negatives,10,147.35,2.515452245621054,137.0,149.0,147.0,148.25
katz,true_negatives,10,1352.65,2.515452245621053,1351.0,1363.0,1351.75,1353.0
katz,true_positive_rate,10,0.9017666666666667,0.0016769681637473692,0.9006666666666666,0.9086666666666666,0.9011666666666667,0.902
act,true_positives,10,1235.95,2.7654113618049667,1230.0,1242.0,1235.0,1237.25
act,false_positives,10,264.05,2.7654113618049663,258.0,270.0,262.75,265.0
act,false_negatives,10,264.05,2.7654113618049663,258.0,270.0,262.75,265.0
act,true_negatives,10,1235.95,2.7654113618049667,1230.0,1242.0,1235.0,1237.25
act,true_positive_rate,10,0.8239666666666666,0.0018436075745366508,0.82,0.828,0.8233333333333334,0.8248333333333333
lhn,true_positives,25,3146.45,6.568675665611754,3133.0,3161.0,3142.0,3150.75
lhn,false_positives,25,603.55,6.568675665611752,589.0,617.0,599.25,608.0
lhn,false_negatives,25,603.55,6.568675665611752,589.0,617.0,599.25,608.0
lhn,true_negatives,25,3146.45,6.568675665611754,3133.0,3161.0,3142.0,3150.75
lhn,true_positive_rate,25,0.8390533333333332,0.001751646844163137,0.8354666666666667,0.8429333333333333,0.8378666666666666,0.8402
ra,true_positives,25,3146.45,6.568675665611754,3133.0,3161.0,3142.0,3150.75
ra,false_positives,25,603.55,6.568675665611752,589.0,617.0,599.25,608.0
ra,false_negatives,25,603.55,6.568675665611752,589.0,617.0,599.25,608.0
ra,true_negatives,25,3146.45,6.568675665611754,3133.0,3161.0,3142.0,3150.75
ra,true_positive_rate,25,0.8390533333333332,0.001751646844163137,0.8354666666666667,0.8429333333333333,0.8378666666666666,0.8402
hits,true_positives,25,2979.0,6.465291950097845,2966.0,2991.0,2973.75,2984.0
hits,false_positives,25,771.0,6.465291950097845,759.0,784.0,766.0,776.25
hits,false_negatives,25,771.0,6.465291950097845,759.0,784.0,766.0,776.25
hits,true_negatives,25,2979.0,6.465291950097845,2966.0,2991.0,2973.75,2984.0
hits,true_positive_rate,25,0.7944,0.0017240778533594192,0.7909333333333334,0.7976,0.793,0.7957333333333333
katz,true_positives,25,3280.15,4.04073013204297,3272.0,3285.0,3276.75,3284.25
katz,false_positives,25,469.85,4.04073013204297,465.0,478.0,465.75,473.25
